,اسم المتحف (عربي),المنطقة الادارية,مدينة/محافظة,الوضع التنظيمي,التصنيف,أيام العمل,ساعات العمل,تاريخ تأسيسه,سعر التذكرة بالريال السعودي,العمل يوم الجمعة
0, المتحف الوطني السعودي,الرياض,الرياض,عام,ثقافي وتاريخي,يوميًا,8:00 صباحًا - 8:00 مساءً,1999,مجاني,نعم
1,متحف الطيبات,مكة المكرمة,جدة,عام, ثقافي وفني وتاريخي,من السبت إلى الخميس,8:00 صباحاً - 12:00 ظهراً | 5:00 مساءً - 9:00 مساءً,1987,80,لا
2,متحف مدائن صالح,المدينة المنورة,العلا,عام,أثري وتاريخي,يوميًا,8:00 صباحًا - 6:00 مساءً,1985,50,نعم
3,متحف تراث الصحراء,المنطقة الشرقية ,الخبر,خاص,تراثي وثقافي,يوميًا,8:00 صباحًا - 8:00 مساءً | الجمعة: 3:00 مساءً - 8:00 مساءً,1990,مجاني,نعم
4,متحف عبد الرؤوف خليل,مكة المكرمة,جدة,خاص,ثقافي وتاريخي,من السبت إلى الخميس,9:00 صباحًا - 12:00 مساءً | 5:00 مساءً - 9:00 مساءً,1987,50,لا
5,متحف الشريف,مكة المكرمة,الطائف,خاص ,تراثي وشعبي,من السبت إلى الخميس,9:00 صباحًا - 6:00 مساءً,1988,30,لا
6,متحف تيم لاب بلا حدود,مكة المكرمة,جدة,عام,فني تفاعلي,يوميًا,1:00 صباحًا - 11:00 مساءً | الخميس والجمعة:  3:00 مساءً - 2:00 صباحًا,2024,100 إلى 150,نعم
7,بينالي الفنون الإسلامية,مكة المكرمة,جدة,عام,تاريخي وفني,يوميًا,10:00 صباحاً - 11:00 مساءً | الجمعة:  5:00 مساءً - 11:00 مساءً,2023,مجاني,نعم
8,متحف بيت نصيف,مكة المكرمة,جدة,عام,ثقافي وتاريخي,يوميًا,8:00 صباحاً - 12:00 منتصف الليل,1872,مجاني,نعم
9,المتحف السعودي للفن المعاصر,الرياض,الرياض,عام,فني معاصر,يوميًا,10:00 صباحًا - 10:00 مساءً,2019,مجاني,نعم
10,متحف الذهب الأسود,الرياض,الرياض,عام,تاريخي ابداعي,يوميًا,8:00 صباحًا - 4:00 مساءً,2020,مجاني,نعم
11,متحف بيت السدو,الرياض,الرياض,خاص,تراثي,من السبت إلى الخميس,9:00 صباحًا - 6:00 مساءً,غير محدد,مجاني,لا
12,المعرض والمتحف الدولي للسيرة النبوية والحضارة الإسلامية,المدينة المنورة,المدينة المنورة,عام ,ثقافي,يوميًا,8:00 صباحًا - 10:30 مساءً,2021,مجاني,نعم
13,متحف يحي بن محفوظ سعيد عسيري للمواقع الاثرية,عسير,أبها,خاص,التراث الثقافي,يوميًا,9:00 صباحًا - 5:00 مساءً,غير محدد,مجاني,نعم
14,متحف نفحات الماضي,الرياض,الرياض,خاص,ثقافي وتاريخي,غير محدد,10:00 صباحًا - 10:00 مساءً,2009,مجاني,لا
15,متحف مصايف الجنوب للعرض المتحفي,عسير,خميس مشيط,خاص,ثقافي وتاريخي,غير محدد,9:00 صباحًا - 5:00 مساءً,1999,مجاني,لا
16,متحف المجمعة بقصر الربيعة,الرياض,المجمعة,عام,ثقافي وتاريخي,الخميس  | الجمعة | السبت,3:00 مساءً - 7:00 مساءً,1412,غير محدد,نعم
17,متحف الغاط,الرياض,الغاط,عام,ثقافي وتاريخي,يوميًا,9:00 صباحًا - 5:00 مساءً | الجمعة والسبت: 2:00 مساءً - 8:00 مساءً,1966,مجاني,نعم
18,متحف الفيصل للفن العربي الإسلامي,الرياض,الرياض,عام,الفن الإسلامي,من السبت إلى الخميس,9:00 صباحًا - 9:00 مساءً,1983,مجاني,لا
19,متحف بريدة,القصيم,بريدة,عام,ثقافي وتاريخي,من الأحد إلى الخميس,8:00 صباحًا - 2:00 مساءً,1999,مجاني,لا
20,متحف العملات في البنك المركزي السعودي,الرياض,الرياض,عام,متخصص,مغلق,مغلق,غير محدد,غير محدد,لا
21,متحف الدرعية التاريخي,الرياض,الدرعية,عام,التراث السعودي,يوميًا,5:00 مساءً - 2:00 صباحًا,غير محدد,مجاني من 9:00 صباحًا -  5:00 مساءً | 50 ريال من 5:00 مساءً ,نعم
22,متحف فيد,حائل,فيد,عام,علم الآثار,غير محدد,غير محدد,2009,مجاني,لا
23,متحف القنفذة العام,مكة المكرمة,القنفذة,عام,غير محدد,من الأحد إلى الخميس,8:00 صباحًا - 2:15 صباحًا,2001,غير محدد,لا
24,متحف سكة حديد الحجاز في تبوك,تبوك,تبوك,عام,ثقافي وتاريخي,من الأحد إلى الخميس,8:00 صباحًا - 3:00 مساءً,غير محدد,مجاني,لا
25,متحف سكة الحديد,المدينة المنورة,العلا,عام,ثقافي وتاريخي,يوميًا,24 ساعة,1998,10,نعم
26,متحف السكة الحديد بالمدينة المنورة,المدينة المنورة,المدينة المنورة,عام ,ثقافي وتاريخي,من السبت إلى الخميس,8:00 صباحًا - 1:00 مساءً | 4:00 مساءً - 9:00 مساءً,1998,10,لا
27,متحف الخيل العربية,الرياض,الدرعية,عام,التاريخ الطبيعي,غير محدد,10:00 صباحًا - 5:00 مساءً,2019,50,لا
28,بيت البيعة,المنطقة الشرقية ,الأحساء,عام ,متخصص,من السبت إلى الخميس,8:00 صباحًا - 4:00 مساءً,1789,مجاني,لا
29,"متحف الملك عبد العزيز الحربي, كلية الملك عبدالعزيز الحربية",الرياض,العيينة,عام,متخصص,من الأحد إلى الخميس,9:00 صباحًا - 7:00 مساءً,1955,غير محدد,لا
30,متحف مكتبة الملك فهد الوطنية,الرياض,الرياض,عام,ثقافي وتاريخي,يوميًا,8:00 صباحًا - 8:00 مساءً | الجمعة والسبت: 1:00 مساءً - 8:00 مساءً,1986,مجاني,نعم
31,متحف واحة الملك سلمان للعلوم,الرياض,الرياض,عام خاص,العلوم والتقنية,من السبت إلى الخميس,8:00 صباحًا - 9:00 مساءً | السبت: 10:00 صباحًا - 9:00 مساءً,1985,35,لا
32,قصر المصمك,الرياض,الرياض,عام,ثقافي وتاريخي,من السبت إلى الخميس,9:00 صباحًا - 12:00 مساءً | 4:00 مساءً - 9:00 مساءً,1996,مجاني,لا
33,المتحف الحربي,الرياض,الدرعية,عام,متخصص,غير محدد,غير محدد,2019,10,لا
34,قصر المربع,الرياض,الرياض,عام,ثقافي وتاريخي,من الأثنين إلى السبت,من الأثنين ألى الأربعاء: 9:00 صباحًا - 7:00 مساءً |الخميس: 9:00 صباحًا - 10:00 مساءً | الجمعة: 2:00 مساءً - 10:00 مساءً | السبت: 8:00 صباحًا - 2:00 مساءً,1936,مجاني,نعم
35,المتحف المفتوح,مكة المكرمة,جدة,عام,الفن,مغلق,مغلق,2013,5,لا
36,المدرسة الأميرية,المنطقة الشرقية ,الأحساء,عام ,متخصص,مغلق مؤقتاً,مغلق مؤقتاً,1937,50,لا
37,متحف قرية رجال المع,عسير,رجال ألمع,عام,التراث السعودي,يوميًا,9:00 صباحًا - 9:00 مساءً,1985,20,نعم
38,متحف صقر الجزيرة للطيران,الرياض,الرياض,عام,متخصص,يوميًا,8:00 صباحًا - 11:00 مساءً | 4:00 مساءً - 9:00 مساءً,1999,10,نعم
39,متحف شقراء التراثي,الرياض,شقراء,عام,ثقافي وتاريخي,يوميًا,4:00 مساءً - 10:00 مساءً,2017,غير محدد,نعم
40,متحف الحياة الاجتماعية,الرياض,الدرعية,عام,ثقافي وتاريخي,يوميًا,5:00 مساءً - 2:00 صباحًا,غير محدد,10,نعم
41,متحف العمارة التقليدية,الرياض,الدرعية,عام,متخصص,غير محدد,غير محدد,غير محدد,مجاني,لا
42,متحف هيئة الزكاة والضريبة والجمارك – فرع الدمام,المنطقة الشرقية ,الدمام,عام,متخصص,غير محدد,غير محدد,غير محدد,غير محدد,لا
43,متحف هيئة الزكاة والضريبة والجمارك,الرياض,الرياض,عام,متخصص,غير محدد,غير محدد,غير محدد,غير محدد,لا
44,مركز الملك عبدالعزيز الثقافي العالمي  إثراء,المنطقة الشرقية ,الظهران,القطاع الثالث,متعدد التخصصات,يوميًا,9:00 صباحًا - 11:00 مساءً | الجمعة: 4:00 مساءً - 11:00 مساءً,2016,مجاني,نعم
45, متحف الطفل إثراء,المنطقة الشرقية ,الظهران,القطاع الثالث,متخصص,يوميًا,9:00 صباحًا - 9:00 مساءً,غير محدد,للبالغين: 45 | الأطفال من 1 - 12: 20,نعم
46,متحف الآثار، جامعة الملك سعود,الرياض,الرياض,عام,علم الآثار,من السبت إلى الأربعاء,8:00 صباحًا - 2:00 مساءً,1959,10,لا
47,متحف كلية العلوم، جامعة الملك عبدالعزيز (الفيصلية),مكة المكرمة,جدة,عام,العلوم والتقنية,غير محدد,غير محدد,غير محدد,غير محدد,لا
48,متحف كلية العلوم، جامعة الملك عبدالعزيز (السليمانية),مكة المكرمة,جدة,عام,العلوم والتقنية,غير محدد,غير محدد,غير محدد,غير محدد,لا
49,"المتحف الجيولوجي,  جامعة الملك سعود",الرياض,الرياض,عام,العلوم والتقنية,غير محدد,غير محدد,1986,غير محدد,لا
50,المتحف الجيولوجي (متحف كلية علوم الأرض)، جامعة الملك عبدالعزيز,مكة المكرمة,جدة,عام,العلوم الطبيعية,من الأحد إلى الخميس,8:30 صباحًا - 1:30 مساءً,1987,غير محدد,لا
51,متحف قسم الأحياء بكلية العلوم، جامعة الملك عبدالعزيز,مكة المكرمة,جدة,عام,العلوم والتقنية,غير محدد,غير محدد,غير محدد,غير محدد,لا
52,متحف تاريخ العلوم والتقنية في الإسلام، جامعة الإمام محمد بن سعود الإسلامية,الرياض,الرياض,عام,ثقافي وتاريخي,من الأحد إلى الخميس,7:30 صباحًا - 2:30 مساءً,2018,غير محدد,لا
53,متحف جامعة نجران,نجران,نجران,عام,العلوم والتقنية,غير محدد,غير محدد,1983,غير محدد,لا
54,متحف جامعة أم القرى,مكة المكرمة,مكة المكرمة,عام,ثقافي وتاريخي,غير محدد,غير محدد,غير محدد,غير محدد,لا
55,"متحف قسم علم الحيوان,  جامعة الملك سعود",الرياض,الرياض,عام,التاريخ الطبيعي,غير محدد,غير محدد,1970,غير محدد,لا
56,المتحف التاريخي، جامعة الأميرة نورة بنت عبدالرحمن,الرياض,الرياض,عام,ثقافي وتاريخي,غير محدد,غير محدد,2015,للأطفال: 30 | الأطفال من 4 سنوات وتحت مجاناً | الكبار: 120 | التذكرة المميزة:  150,لا
57,العضيبية,الرياض,الزلفي,خاص,تراثي وشعبي,من الأحد إلى الخميس,9:00 صباحًا - 11:00 مساءً,2012,غير محدد,لا
58,القران الكريم,مكة المكرمة,مكة المكرمة ,خاص,التراث السعودي,يوميًا,8:30 صباحًا - 9:30 مساءً | الجمعة: 4:00 مساءً - 10:00 مساءً,2015,غير محدد,نعم
59,القهوة السعودية,مكة المكرمة,مكة المكرمة ,خاص,غير محدد,يوميًا,8:30 صباحًا - 9:30 مساءً | الجمعة: 4:00 مساءً - 10:00 مساءً,2022,غير محدد,نعم
60,معرض الوحي,مكة المكرمة,مكة المكرمة ,خاص,غير محدد,يوميًا,8:30 صباحًا - 9:30 مساءً | الجمعة: 4:00 مساءً - 10:00 مساءً,2023,غير محدد,نعم
61,قديم التعليم,الرياض,الرياض,خاص,غير محدد,يوميًا,9:00 صباحًا - 11:00 مساءً,غير محدد,غير محدد,نعم
62,تاريخ البن التراثي,المنطقة الشرقية ,الأحساء,خاص,التراث السعودي,غير محدد,غير محدد,2016,غير محدد,لا
63,بو بكر العامودي,مكة المكرمة,مكة المكرمة ,خاص,التراث السعودي,يوميًا,8:00 صباحًا - 9:00 مساءً,2015,غير محدد,نعم
64,الحمدان التراثي,الرياض,الرياض,خاص,التراث السعودي,الجمعة | السبت,4:30 صباحًا - 9:00 مساءً,2012,غير محدد,نعم
65,طريق الهجره,المدينة المنورة,المدينة المنورة,خاص,التراث السعودي,غير محدد,غير محدد,2011,غير محدد,لا
66,ابو بكر العمود للتراث,المدينة المنورة,المدينة المنورة,خاص,التراث السعودي,يوميًا,8:00 صباحًا - 10:30 مساءً | الجمعة: 1:00 مساءً - 11:00 مساءً,غير محدد,غير محدد,نعم
67,عروس المصايف,مكة المكرمة,الطائف,خاص,تراثي وتاريخي,يوميًا,8:00 صباحًا - 11:30 مساءً,2023,غير محدد,نعم
68,متحف عبدالله بن محمد أبابطين للوثائق والمخطوطات,الرياض,سدير,خاص,غير محدد,مغلق مؤقتاً,مغلق مؤقتاً,2015,غير محدد,لا
69,متحف عبدالعزيز الرضيان للعرض المتحفي,الرياض,ضرما,خاص,غير محدد,من الأحد إلى الخميس,9:00 صباحًا - 11:00 مساءً,2017,غير محدد,لا
70,قصر ابن عقيل التاريخي,القصيم,الرس,خاص,غير محدد,غير محدد,غير محدد,2022,غير محدد,لا
71,الرس التاريخي,القصيم,الرس,خاص,غير محدد,تاريخي,غير محدد,غير محدد,25,لا
72,سعيد البويطن,القصيم,عنيزة,خاص,غير محدد,غير محدد,غير محدد,غير محدد,غير محدد,لا
73,حرف زمان,مكة المكرمة,مكة المكرمة,خاص,غير محدد,غير محدد,غير محدد,غير محدد,34,لا
74,الخط الحضاري للعرض المتحفي,المنطقة الشرقية ,القطيف,خاص,غير محدد,يوميًا,4:00 مساءً - 11:00 مساءً | الجمعة والسبت: 3:00 مساءً - 12:00 مساءً,1998,20,نعم
75,متحف العيادة,حائل,جبة,خاص,غير محدد,يوميًا,24 ساعة,2018,غير محدد,نعم
76,أبو نورة التراثي,عسير,المجاردة,خاص,تراثي,غير محدد,غير محدد,غير محدد,20,لا
77,قرية ال عليان,عسير,النماص,خاص,تراثي,يوميًا,7:30 صباحًا - 11:30 مساءً,2010,23,نعم
78,بيت المطوع,الرياض,الرياض,خاص,تراثي,يوميًا,4:00 مساءً - 7:00 مساءً,غير محدد,28,نعم
79,عبدالرزاق العرب التراثي,المنطقة الشرقية ,الأحساء,خاص,التراث السعودي,من الأحد إلى الخميس,9:00 صباحًا - 11:00 مساءً,2017,10,لا
80,صالح الظفر التراثي,المنطقة الشرقية ,الأحساء,خاص,التراث السعودي,غير محدد,غير محدد,2015,مجاني,لا
81,البو عبيد التراثي,المنطقة الشرقية ,الأحساء,خاص,التراث السعودي,غير محدد,غير محدد,2013,غير محدد,لا
82,الشملاني التراثي,الباحة,الاطاولة,خاص,التراث السعودي,يوميًا,10:00 صباحًا - 8:30 مساءً | الجمعة: 2:00 مساءً - 8:30 مساءً,1981,10,نعم
83,كنوز الماضي التراثي,المنطقة الشرقية ,الأحساء,خاص,التراث السعودي,غير محدد,غير محدد,1983,غير محدد,لا
84,فيض الزمان التراثي,المنطقة الشرقية ,الأحساء,خاص,التراث السعودي,يوميًا,9:00 صباحًا - 11:00 مساءً,غير محدد,10,نعم
85,متحف متحف الناصر بالتهيمية,المنطقة الشرقية ,الأحساء,خاص,التراث السعودي,مغلق,مغلق,غير محدد,3,لا
86,متحف الخليفة التراثي,المنطقة الشرقية ,الأحساء,خاص,التراث السعودي,يوميًا,9:00 صباحًا - 12:00 مساءً | 3:00 مساءً - 8:00 مساءً| الجمعة: 2:00 مساءً - 8:30 مساءً,2009,10,نعم
87, وليد االناجم التراثي,المنطقة الشرقية ,الأحساء,خاص,التراث السعودي,يوميًا,9:00 صباحًا - 11:00 مساءً,2017,15,نعم
88,أبو ردحة التراثي,المنطقة الشرقية ,الدمام,خاص,التراث السعودي,من السبت إلى الخميس,7:00 مساءً - 3:00 صباحًا | السبت: 9:00 صباحًا - 11:00 صباحًا,غير محدد,مجاني,لا
89,متحف البيت الشعبي,المدينة المنورة,المدينة المنورة,خاص,التراث السعودي,غير محدد,غير محدد,غير محدد,28,لا
90, حضارة طيبة ,المدينة المنورة,المدينة المنورة,خاص,التراث السعودي,مغلق مؤقتاً,مغلق مؤقتاً,غير محدد,290,لا
91, كنوز المعرفة ,المدينة المنورة,العلا,خاص,التراث السعودي,غير محدد,غير محدد,غير محدد,للبالغين: 50 | الأطفال: 25 | الأطفال دون 6 سنوات مجاني,لا
92, دار المدينة للتراث ,المدينة المنورة,المدينة المنورة,خاص,ثقافي وتاريخي,من السبت إلى الخميس,11:00 صباحًا - 6:00 مساءً,2011,25,لا
93,القرعاء التراثي ,المنطقة الشرقية ,حفر الباطن,خاص,التراث السعودي,من الأحد إلى الخميس,9:00 صباحًا - 11:00 مساءً,غير محدد,مجاني,لا
94, فتحي البنعلي,المنطقة الشرقية ,القطيف,خاص,التراث السعودي,يوميًا,3:00 مساءً - 6:00 مساءً | الجمعة: 12:00 صباحًا - 6:00 مساءً,1999,مجاني,نعم
95, الدلم عبق التاريخ للتراث,الرياض,الرياض,خاص,التراث السعودي,من الأحد إلى الخميس,9:00 صباحًا - 11:00 مساءً,1991,غير محدد,لا
96,متحف الصادرية,الرياض,وادي الدواسر,خاص,التراث السعودي,يوميًا,24 ساعة,غير محدد,غير محدد,نعم
97,متحف الجوير التراثي,الرياض,الزلفي,خاص,التراث السعودي,غير محدد,غير محدد,غير محدد,غير محدد,لا
98,متحف الشخصي للدكتور عبدالرحمن بن راشد آل زنان الزهراني,الرياض,الأفلاج,خاص,التراث السعودي,غير محدد,غير محدد,غير محدد,غير محدد,لا
99,متحف صالح الموسى للتراث,الرياض,الخرج,خاص,التراث السعودي,الأحد | الثلاثاء | الأربعاء | الخميس,9:00 صباحًا - 11:00 مساءً,1997,غير محدد,لا
100,متحف ديار العز  للتراث,الرياض,المزاحمية,خاص,التراث السعودي,مغلق مؤقتاً,مغلق مؤقتاً,غير محدد,غير محدد,لا
101, الماجد التراثي,الرياض,المجمعة,خاص,التراث السعودي,يوميًا,9:00 صباحًا - 11:00 مساءً,غير محدد,غير محدد,نعم
102,متحف السنين الماضية,الرياض,الدرعية,خاص,التراث السعودي,يوميًا,4:00 مساءً - 9:00 مساءً,غير محدد,20,نعم
103,متحف الفنون المنزلية,مكة المكرمة,جدة,خاص,ثقافي وتاريخي,من السبت إلى الخميس,8:00 صباحًا - 12:00 مساءً | 5:00 مساءً - 9:00 مساءً,1998,50,لا
104,متحف أم الدوم التراثي (متحف علي بن جهز التراثي),مكة المكرمة,الطائف,خاص,التراث السعودي,يوميًا,24 ساعة,2015,غير محدد,نعم
105,متحف الشيخ حمد السالم,الرياض,أشيقر,خاص,التراث السعودي,يوميًا,8:30 صباحًا - 10:00 مساءً,غير محدد,غير محدد,نعم
106,متحف التراث الإنساني,مكة المكرمة,مكة المكرمة,خاص,التراث السعودي,من السبت إلى الخميس,8:00 صباحًا - 11:00 مساءً | 4:30 مساءً - 9:30 مساءً,2016,غير محدد,لا
107,بيت الجريسي للتراث,الرياض,ضرما,خاص,التراث السعودي,يوميًا,9:00 صباحًا - 6:00 مساءً,غير محدد,10,نعم
108,بيت الحسين التاريخي,الرياض,حوطة سدير,خاص,التراث السعودي,غير محدد,غير محدد,غير محدد,غير محدد,لا
109,متحف مشوح المشوح,الرياض,الرياض,خاص,التراث السعودي,من الأحد إلى الأربعاء,4:00 مساءً - 8:00 مساءً,غير محدد,مجاني,لا
110,متحف السناوي للتراث,الرياض,الرياض,خاص,التراث السعودي,غير محدد,غير محدد,غير محدد,غير محدد,لا
111,متحف خالد الرضيان التراثي,الرياض,الرياض,خاص,التراث السعودي,يوميًا,9:00 صباحًا - 11:00 مساءً,غير محدد,غير محدد,نعم
112,متحف جذور وتراث عبدالعزيز عبد ربه الحازمي,الرياض,الرياض,خاص,التراث السعودي,غير محدد,غير محدد,غير محدد,غير محدد,لا
113,متحف روحاء التراثي,مكة المكرمة,مكة المكرمة,خاص,التراث السعودي,يوميًا,5:00 مساءً - 10:00 مساءً,غير محدد,غير محدد,نعم
114, الكائنات البحرية التراثي,جازان,جزيرة فرسان ,خاص,التراث السعودي,غير محدد,غير محدد,2022,غير محدد,لا
115, خلف بن سعد الشمري للتراث ,حائل,حائل,خاص,التراث السعودي,غير محدد,غير محدد,غير محدد,غير محدد,لا
116,سالم بن دبا الأحمري التراثي,عسير,بللحمر,خاص,التراث السعودي,غير محدد,غير محدد,غير محدد,غير محدد,لا
117,المجموعات الحجرية التراثي,جازان,جازان,خاص,التراث السعودي,غير محدد,غير محدد,1984,غير محدد,لا
118, وقفة على عتبات الماضي,تبوك,تبوك,خاص,التراث السعودي,يوميًا,9:00 صباحًا - 11:00 مساءً | الجمعة: 5:00 مساءً - 11:00 مساءً,1983,غير محدد,نعم
119, متحف الاتصالات بالجوف,الجوف,سكاكا,خاص,ثقافي وتاريخي,غير محدد,غير محدد,1982,غير محدد,لا
120,ناصر العروج التراثي,الجوف,سكاكا,خاص,التراث السعودي,من الأحد إلى الخميس,9:00 صباحًا - 11:00 مساءً,غير محدد,غير محدد,لا
121, الوذيمان التراثي,الجوف,دومة الجندل,خاص,التراث السعودي,غير محدد,غير محدد,غير محدد,غير محدد,لا
122,مركز العبري للتراث والسيارات القديمة,القصيم,بريدة,خاص,التراث السعودي,من الأحد إلى الخميس,9:00 صباحًا - 11:00 مساءً,1980,مجاني,لا
123,متحف العرش للتراث,عسير,النماص,خاص,التراث السعودي,يوميًا,9:00 صباحًا - 11:00 مساءً,2009,غير محدد,نعم
124,الخميس التراثي,المنطقة الشرقية ,الأحساء,خاص,التراث السعودي,غير محدد,غير محدد,غير محدد,غير محدد,لا
125,الوادي الأخضر التراثي,تبوك,الوادي الأخضر,خاص,التراث السعودي,غير محدد,غير محدد,غير محدد,غير محدد,لا
126,متحف قصر مالك,عسير,رجال ألمع,خاص,التراث السعودي,يوميًا,4:00 مساءً - 9:00 مساءً,1964,20,نعم
127,متحف محمد بن عضوان الاحمري ,عسير,بللحمر,خاص,التراث السعودي,يوميًا,10:00 صباحًا - 10:00 مساءً,2020,غير محدد,نعم
128,المرير التراثي,المنطقة الشرقية ,الأحساء,خاص,التراث السعودي,غير محدد,غير محدد,1998,غير محدد,لا
129,البيت الطيني التراثي,تبوك,تبوك,خاص,التراث السعودي,يوميًا,4:00 مساءً - 11:00 مساءً,1999,مجاني,نعم
130,الصالحي التراثي,القصيم,عنيزة,خاص,التراث السعودي,يوميًا,4:00 مساءً - 9:00 مساءً,غير محدد,غير محدد,نعم
131, دوس التراثي,الباحة,المندق ,خاص,التراث السعودي,يوميًا,4:00 مساءً - 9:00 مساءً,2014,غير محدد,نعم
132,متحف بلقرن التراثي,عسير,بلقرن ,خاص,التراث السعودي,يوميًا,9:00 صباحًا - 11:00 مساءً,غير محدد,غير محدد,نعم
133,دار النفائس والمخطوطات,القصيم,بريدة,خاص,التراث السعودي,غير محدد,غير محدد,2008,غير محدد,لا
134,ظافر الخلاوي التراثي,عسير,الأمواه,خاص,التراث السعودي,غير محدد,غير محدد,2007,غير محدد,لا
135,النويصر التراثي,الجوف,دومة الجندل,خاص,التراث السعودي,يوميًا,8:30 صباحًا - 6:00 مساءً,1995,غير محدد,نعم
136, قصر النائب للتراث,عسير,أحد رفيدة,خاص,التراث السعودي,يوميًا,9:00 صباحًا - 5:00 مساءً | الجمعة: 1:00 مساءً - 5:00 مساءً,2002,غير محدد,نعم
